,fecha,agencia_id,canal_id,producto_id,venta_uni,labeled_producto,labeled_agencia,labeled_canal,prediction
22841,2018-04-19,12820,4,7840,407,3,16,2,291.0
12590,2017-11-09,12656,1,7840,406,3,2,0,1187.0
13398,2017-11-23,12615,1,123576,406,18,0,0,347.0
17051,2018-01-11,12841,4,7840,406,3,18,2,202.0
21141,2018-03-22,12820,1,39109,406,9,16,0,227.8403361344538
14971,2017-12-14,12808,4,38588,405,8,14,2,31.0
15474,2017-12-21,12841,4,7840,405,3,18,2,202.0
17567,2018-01-25,12732,1,123576,405,18,4,0,293.5
18847,2018-02-15,12762,1,9784,404,4,8,0,203.0
20357,2018-03-15,12615,1,123576,404,18,0,0,347.0
22686,2018-04-19,12762,1,123492,404,17,8,0,366.25
13371,2017-11-16,12841,1,39109,403,9,18,0,335.0
19873,2018-03-01,12839,1,41653,403,10,17,0,555.0
11684,2017-10-19,12841,1,123576,402,18,18,0,527.4583333333334
16037,2018-01-01,12762,1,7840,402,3,8,0,1011.0
10230,2017-09-28,12762,1,42158,401,12,8,0,524.0
19444,2018-02-22,12839,1,9784,401,4,17,0,425.0
11309,2017-10-19,12636,2,7840,400,3,1,1,1610.0
12641,2017-11-09,12732,1,39109,400,9,4,0,408.8181818181818
16837,2018-01-11,12762,1,123576,400,18,8,0,300.75
17954,2018-02-01,12732,1,9784,400,4,4,0,193.0
11258,2017-10-12,12841,1,39109,399,9,18,0,335.0
13796,2017-11-23,12841,4,7840,399,3,18,2,202.0
16170,2018-01-01,12809,1,39109,399,9,15,0,227.8403361344538
16254,2018-01-04,12615,1,123576,399,18,0,0,347.0
16598,2018-01-04,12820,4,7840,399,3,16,2,291.0
17864,2018-01-25,12841,4,7840,399,3,18,2,202.0
10125,2017-09-28,12731,4,6437,398,1,3,2,390.0
10623,2017-10-05,12761,1,123335,398,15,7,0,167.08333333333334
11967,2017-10-26,12797,4,6437,398,1,11,2,382.375
15849,2017-12-28,12839,4,6437,398,1,17,2,977.0
17599,2018-01-25,12752,1,39109,398,9,6,0,408.8181818181818
18582,2018-02-08,12808,4,38588,398,8,14,2,31.0
11359,2017-10-19,12731,4,6437,397,1,3,2,390.0
12053,2017-10-26,12820,1,38588,397,8,16,0,728.0
16210,2018-01-01,12839,1,39109,397,9,17,0,227.8403361344538
10087,2017-09-28,12656,1,9784,396,4,2,0,277.0
14432,2017-12-07,12765,1,123576,396,18,9,0,519.3846153846154
14470,2017-12-07,12779,4,38588,395,8,10,2,536.1538461538462
15515,2017-12-28,12656,1,6555,395,2,2,0,22.0
17734,2018-01-25,12797,4,6437,395,1,11,2,382.375
19964,2018-03-08,12656,1,123576,395,18,2,0,85.0
20558,2018-03-15,12765,1,39109,395,9,9,0,17.133333333333333
22155,2018-04-12,12731,4,6437,395,1,3,2,390.0
10859,2017-10-05,12841,4,7840,394,3,18,2,202.0
13167,2017-11-16,12762,4,7840,394,3,8,2,472.6
22585,2018-04-19,12732,1,38588,394,8,4,0,41.0
22800,2018-04-19,12808,4,38588,394,8,14,2,31.0
10002,2017-09-21,12839,1,9784,393,4,17,0,425.0
10057,2017-09-28,12615,1,123492,393,17,0,0,395.0
11794,2017-10-26,12732,1,123492,393,17,4,0,47.0
17645,2018-01-25,12762,1,9784,393,4,8,0,203.0
18254,2018-02-01,12841,1,9784,393,4,18,0,57.0
18363,2018-02-08,12732,1,123576,393,18,4,0,293.5
19346,2018-02-22,12797,4,6437,393,1,11,2,382.375
10853,2017-10-05,12841,1,123576,392,18,18,0,527.4583333333334
12684,2017-11-09,12752,1,39109,392,9,6,0,408.8181818181818
15845,2017-12-28,12839,1,123335,392,15,17,0,227.0
17753,2018-01-25,12803,1,9784,392,4,13,0,2.0
18317,2018-02-08,12656,1,123492,392,17,2,0,131.0
19468,2018-02-22,12841,1,9784,392,4,18,0,57.0
11265,2017-10-12,12841,1,123576,391,18,18,0,527.4583333333334
13786,2017-11-23,12841,1,39109,391,9,18,0,335.0
15294,2017-12-21,12779,1,38588,391,8,10,0,783.0
15841,2017-12-28,12839,1,39109,391,9,17,0,227.8403361344538
15886,2018-01-01,12615,1,42158,391,12,0,0,534.0
20140,2018-03-08,12765,4,6437,391,1,9,2,1026.0
10409,2017-09-28,12820,4,7840,390,3,16,2,291.0
11202,2017-10-12,12809,4,6437,390,1,15,2,382.375
15198,2017-12-21,12752,1,9784,389,4,6,0,278.0
16878,2018-01-11,12779,1,39109,389,9,10,0,84.61904761904762
12189,2017-11-02,12731,1,123492,388,17,3,0,752.0
17026,2018-01-11,12839,4,6011,388,0,17,2,277.0
18014,2018-02-01,12752,4,39109,388,9,6,2,408.8181818181818
18256,2018-02-01,12841,1,39109,388,9,18,0,335.0
18440,2018-02-08,12762,1,9784,388,4,8,0,203.0
19035,2018-02-15,12839,1,32354,388,5,17,0,256.0
12555,2017-11-09,12615,1,123492,387,17,0,0,395.0
14037,2017-11-30,12779,1,42158,387,12,10,0,491.6
16022,2018-01-01,12761,1,38588,387,8,7,0,1680.3333333333333
19764,2018-03-01,12797,4,6437,387,1,11,2,382.375
19991,2018-03-08,12731,2,35549,387,7,3,1,60.0
20536,2018-03-15,12762,1,9784,387,4,8,0,203.0
20636,2018-03-15,12802,1,39109,387,9,12,0,227.8403361344538
21621,2018-03-29,12841,1,123576,387,18,18,0,527.4583333333334
15358,2017-12-21,12803,1,9784,386,4,13,0,2.0
15480,2017-12-28,12615,1,6555,386,2,0,0,619.0
20252,2018-03-08,12808,4,38588,386,8,14,2,31.0
20047,2018-03-08,12752,1,9784,385,4,6,0,278.0
13104,2017-11-16,12752,1,7840,384,3,6,0,378.8
13156,2017-11-16,12762,1,9784,384,4,8,0,203.0
13164,2017-11-16,12762,1,123492,384,17,8,0,366.25
13814,2017-11-30,12615,1,123576,384,18,0,0,347.0
16360,2018-01-04,12750,2,35549,384,7,5,1,97.0
18130,2018-02-01,12797,4,6437,384,1,11,2,382.375
15267,2017-12-21,12765,1,38588,383,8,9,0,1166.0
15944,2018-01-01,12731,1,123576,383,18,3,0,1146.0
18346,2018-02-08,12731,4,6437,383,1,3,2,390.0
20342,2018-03-08,12841,4,7840,383,3,18,2,202.0
21428,2018-03-29,12765,4,38588,383,8,9,2,839.4166666666666
22592,2018-04-19,12732,1,123576,383,18,4,0,293.5
13205,2017-11-16,12779,1,38588,382,8,10,0,783.0
16432,2018-01-04,12762,1,123492,382,17,8,0,366.25
18539,2018-02-08,12802,1,9784,382,4,12,0,446.0
22170,2018-04-12,12732,1,42124,382,11,4,0,60.0
12070,2017-10-26,12839,1,32354,381,5,17,0,256.0
13750,2017-11-23,12820,4,7840,381,3,16,2,291.0
14309,2017-12-07,12732,1,9784,381,4,4,0,193.0
18937,2018-02-15,12797,4,6437,381,1,11,2,382.375
20913,2018-03-22,12752,1,9784,381,4,6,0,278.0
22024,2018-04-05,12839,1,32354,381,5,17,0,256.0
10042,2017-09-21,12841,4,7840,380,3,18,2,202.0
10233,2017-09-28,12762,1,123492,380,17,8,0,366.25
11841,2017-10-26,12752,4,6011,380,0,6,2,218.0
13484,2017-11-23,12732,1,123492,380,17,4,0,47.0
13988,2017-11-30,12762,1,38588,380,8,8,0,492.0
18283,2018-02-08,12615,1,123576,380,18,0,0,347.0
19427,2018-02-22,12820,1,39109,380,9,16,0,227.8403361344538
20337,2018-03-08,12841,2,7840,380,3,18,1,1680.0
10174,2017-09-28,12752,1,9784,379,4,6,0,278.0
10416,2017-09-28,12839,1,9784,379,4,17,0,425.0
16747,2018-01-11,12732,1,123576,379,18,4,0,293.5
17265,2018-01-18,12765,1,39109,379,9,9,0,17.133333333333333
17833,2018-01-25,12839,1,41653,379,10,17,0,555.0
18052,2018-02-01,12762,1,123576,379,18,8,0,300.75
18491,2018-02-08,12779,1,39109,379,9,10,0,84.61904761904762
11354,2017-10-19,12731,2,6437,378,1,3,1,210.0
14627,2017-12-07,12841,1,123576,378,18,18,0,527.4583333333334
14917,2017-12-14,12797,4,6437,378,1,11,2,382.375
16477,2018-01-04,12779,2,6437,378,1,10,1,210.0
17671,2018-01-25,12765,1,123492,378,17,9,0,821.75
18498,2018-02-08,12779,2,6437,378,1,10,1,210.0
18651,2018-02-08,12841,1,9784,378,4,18,0,57.0
21885,2018-04-05,12779,2,6437,378,1,10,1,210.0
22717,2018-04-19,12765,4,6437,378,1,9,2,1026.0
17652,2018-01-25,12762,1,123492,377,17,8,0,366.25
19170,2018-02-22,12732,1,42124,377,11,4,0,60.0
21646,2018-04-05,12615,1,123576,377,18,0,0,347.0
22830,2018-04-19,12820,1,9784,377,4,16,0,1.0
12810,2017-11-09,12797,1,39109,376,9,11,0,515.5
13570,2017-11-23,12762,1,9784,376,4,8,0,203.0
20361,2018-03-15,12615,4,38588,376,8,0,2,119.0
11791,2017-10-26,12732,1,42124,375,11,4,0,60.0
11888,2017-10-26,12762,4,7840,375,3,8,2,472.6
18397,2018-02-08,12752,1,39109,375,9,6,0,408.8181818181818
21735,2018-04-05,12732,1,123492,375,17,4,0,47.0
11399,2017-10-19,12750,4,6437,374,1,5,2,1104.0
16132,2018-01-01,12802,1,123492,374,17,12,0,1159.8333333333333
19917,2018-03-08,12615,1,38588,374,8,0,0,154.0
22194,2018-04-12,12750,1,123576,374,18,5,0,2279.0
10679,2017-10-05,12779,1,9784,373,4,10,0,368.0
11286,2017-10-19,12615,1,123492,373,17,0,0,395.0
12492,2017-11-02,12820,4,7840,373,3,16,2,291.0
21717,2018-04-05,12731,4,6437,373,1,3,2,390.0
12479,2017-11-02,12820,1,9784,372,4,16,0,1.0
14544,2017-12-07,12808,4,6437,372,1,14,2,382.375
18855,2018-02-15,12762,1,123492,372,17,8,0,366.25
13912,2017-11-30,12750,1,38588,371,8,5,0,2538.0
15610,2017-12-28,12752,1,38588,371,8,6,0,833.2380952380952
18803,2018-02-15,12752,1,39109,371,9,6,0,408.8181818181818
19178,2018-02-22,12732,4,123460,371,16,4,2,96.3076923076923
20205,2018-03-08,12802,1,9784,371,4,12,0,446.0
22687,2018-04-19,12762,1,123576,371,18,8,0,300.75
11641,2017-10-19,12820,4,7840,370,3,16,2,291.0
12125,2017-11-02,12615,1,123492,370,17,0,0,395.0
14510,2017-12-07,12802,1,123492,370,17,12,0,1159.8333333333333
15003,2017-12-14,12820,1,39109,370,9,16,0,227.8403361344538
17250,2018-01-18,12762,1,123576,370,18,8,0,300.75
19303,2018-02-22,12779,1,9784,370,4,10,0,368.0
11051,2017-10-12,12762,1,123576,369,18,8,0,300.75
15510,2017-12-28,12636,4,6437,369,1,1,2,107.0
17741,2018-01-25,12802,1,9784,369,4,12,0,446.0
11828,2017-10-26,12752,1,39109,368,9,6,0,408.8181818181818
15994,2018-01-01,12752,1,6555,368,2,6,0,1181.75
18354,2018-02-08,12732,1,9784,368,4,4,0,193.0
19039,2018-02-15,12839,1,41653,368,10,17,0,555.0
19172,2018-02-22,12732,1,123492,368,17,4,0,47.0
22727,2018-04-19,12779,1,9784,368,4,10,0,368.0
15150,2017-12-21,12732,1,6555,367,2,4,0,1072.0
15542,2017-12-28,12731,1,39109,366,9,3,0,408.8181818181818
15654,2017-12-28,12762,1,6555,366,2,8,0,637.0
16592,2018-01-04,12820,1,39109,366,9,16,0,227.8403361344538
18989,2018-02-15,12808,4,38588,366,8,14,2,31.0
22372,2018-04-12,12802,1,39109,366,9,12,0,227.8403361344538
12799,2017-11-09,12779,4,38588,365,8,10,2,536.1538461538462
19472,2018-02-22,12841,1,39109,365,9,18,0,335.0
11650,2017-10-19,12839,1,9784,364,4,17,0,425.0
11823,2017-10-26,12752,1,7840,364,3,6,0,378.8
15624,2017-12-28,12752,4,6437,364,1,6,2,687.0
17829,2018-01-25,12839,1,32354,364,5,17,0,256.0
19677,2018-03-01,12762,1,123576,364,18,8,0,300.75
13421,2017-11-23,12636,4,7840,363,3,1,2,132.0
10420,2017-09-28,12839,1,39109,362,9,17,0,227.8403361344538
10578,2017-10-05,12750,4,6437,362,1,5,2,1104.0
13485,2017-11-23,12732,1,123576,362,18,4,0,293.5
13904,2017-11-30,12732,4,123460,362,16,4,2,96.3076923076923
14454,2017-12-07,12779,1,42158,362,12,10,0,491.6
15281,2017-12-21,12765,4,6437,362,1,9,2,1026.0
16070,2018-01-01,12765,4,6437,362,1,9,2,1026.0
16213,2018-01-01,12839,1,42158,362,12,17,0,1623.0
11706,2017-10-26,12615,1,123576,361,18,0,0,347.0
13622,2017-11-23,12779,1,42158,361,12,10,0,491.6
16802,2018-01-11,12752,4,42158,361,12,6,2,181.0
22200,2018-04-12,12750,4,6437,361,1,5,2,1104.0
11582,2017-10-19,12808,1,9784,360,4,14,0,322.0
12102,2017-10-26,12841,1,123576,360,18,18,0,527.4583333333334
12238,2017-11-02,12750,2,35549,360,7,5,1,97.0
14375,2017-12-07,12752,4,42158,360,12,6,2,181.0
17184,2018-01-18,12750,4,35549,360,7,5,2,34.0
17546,2018-01-25,12731,2,35549,360,7,3,1,60.0
18051,2018-02-01,12762,1,123492,360,17,8,0,366.25
21014,2018-03-22,12779,1,9784,360,4,10,0,368.0
22466,2018-04-12,12839,1,41653,360,10,17,0,555.0
10425,2017-09-28,12839,1,123335,359,15,17,0,227.0
17963,2018-02-01,12732,1,123576,359,18,4,0,293.5
18449,2018-02-08,12762,1,123576,359,18,8,0,300.75
20728,2018-03-15,12839,1,32354,359,5,17,0,256.0
11515,2017-10-19,12779,2,6011,358,0,10,1,60.0
12240,2017-11-02,12750,4,6437,358,1,5,2,1104.0
15386,2017-12-21,12808,4,38588,358,8,14,2,31.0
16836,2018-01-11,12762,1,123492,358,17,8,0,366.25
18856,2018-02-15,12762,1,123576,358,18,8,0,300.75
22495,2018-04-12,12841,1,123576,358,18,18,0,527.4583333333334
12096,2017-10-26,12841,1,39109,357,9,18,0,335.0
17410,2018-01-18,12820,1,9784,357,4,16,0,1.0
20485,2018-03-15,12752,1,9784,357,4,6,0,278.0
21337,2018-03-29,12752,1,9784,357,4,6,0,278.0
12002,2017-10-26,12808,1,9784,356,4,14,0,322.0
12743,2017-11-09,12762,4,7840,356,3,8,2,472.6
13010,2017-11-16,12636,4,38588,356,8,1,2,165.0
14157,2017-11-30,12820,1,9784,356,4,16,0,1.0
18318,2018-02-08,12656,1,123576,356,18,2,0,85.0
12434,2017-11-02,12808,1,39109,355,9,14,0,227.8403361344538
14161,2017-11-30,12820,1,39109,355,9,16,0,227.8403361344538
18182,2018-02-01,12808,4,38588,355,8,14,2,31.0
18415,2018-02-08,12752,4,42158,355,12,6,2,181.0
11376,2017-10-19,12732,1,123492,354,17,4,0,47.0
13320,2017-11-16,12809,4,38588,354,8,15,2,189.0
13616,2017-11-23,12779,1,9784,354,4,10,0,368.0
15072,2017-12-21,12615,1,123576,354,18,0,0,347.0
16918,2018-01-11,12797,4,6437,354,1,11,2,382.375
17850,2018-01-25,12841,1,9784,354,4,18,0,57.0
18151,2018-02-01,12803,1,9784,354,4,13,0,2.0
15952,2018-01-01,12731,4,38588,353,8,3,2,1430.0
20732,2018-03-15,12839,1,41653,353,10,17,0,555.0
22046,2018-04-05,12841,1,9784,353,4,18,0,57.0
12217,2017-11-02,12732,1,123576,352,18,4,0,293.5
16433,2018-01-04,12762,1,123576,352,18,8,0,300.75
11422,2017-10-19,12752,4,6437,351,1,6,2,687.0
11494,2017-10-19,12765,4,6437,351,1,9,2,1026.0
11655,2017-10-19,12839,1,41653,351,10,17,0,555.0
15252,2017-12-21,12762,1,42158,351,12,8,0,524.0
19597,2018-03-01,12750,1,39109,351,9,5,0,408.8181818181818
22503,2018-04-12,12841,4,7840,351,3,18,2,202.0
