fecha,agencia_id,canal_id,producto_id,venta_uni,Week,Month,lag1month,lag2month,lag4month,lag8month,lag05month,lag6month,lag3month
2017-07-06,11,1,6437,7872,27,7,32668,64368,97974,97974,64368,97974,97974
2017-07-06,10,2,42124,150,27,7,338,522,895,895,522,895,895
2017-07-06,5,4,7840,1953,27,7,9492,18065,46720,46720,18065,46720,46720
2017-07-06,2,2,7840,70,27,7,829,1615,5044,5044,1615,5044,5044
2017-07-06,18,1,42158,1754,27,7,6390,13047,23524,23524,13047,23524,23524
2017-07-06,7,4,7840,1880,27,7,7695,13652,24934,24934,13652,24934,24934
2017-07-06,3,2,6011,199,27,7,840,940,1230,1230,940,1230,1230
2017-07-06,15,1,123335,545,27,7,2366,4329,7086,7086,4329,7086,7086
2017-07-06,2,1,41653,119,27,7,370,942,1095,1095,942,1095,1095
2017-07-06,7,1,6011,46,27,7,570,1118,2961,2961,1118,2961,2961
2017-07-06,0,4,38588,124,27,7,565,1039,1632,1632,1039,1632,1632
2017-07-06,12,1,39109,196,27,7,516,1234,2352,2352,1234,2352,2352
2017-07-06,5,4,6437,1486,27,7,2544,4188,6220,6220,4188,6220,6220
2017-07-06,2,4,38588,264,27,7,327,1351,1985,1985,1351,1985,1985
2017-07-06,16,1,6555,2864,27,7,12317,25606,40325,40325,25606,40325,40325
2017-07-06,3,4,7840,2058,27,7,5666,12989,32579,32579,12989,32579,32579
2017-07-06,5,1,123492,4682,27,7,18358,30544,47217,47217,30544,47217,47217
2017-07-06,15,1,123492,3429,27,7,14211,27629,51979,51979,27629,51979,51979
2017-07-06,9,4,38588,750,27,7,539,1008,4251,4251,1008,4251,4251
2017-07-06,16,4,7840,174,27,7,961,2319,5644,5644,2319,5644,5644
2017-07-06,11,2,7840,2134,27,7,8796,18324,31201,31201,18324,31201,31201
2017-07-06,5,2,6437,168,27,7,293,377,637,637,377,637,637
2017-07-06,4,4,6437,316,27,7,806,1857,2803,2803,1857,2803,2803
2017-07-06,4,1,6011,108,27,7,583,912,1502,1502,912,1502,1502
2017-07-06,14,4,38588,514,27,7,2548,4152,6895,6895,4152,6895,6895
2017-07-06,7,4,38588,1241,27,7,1186,3565,8365,8365,3565,8365,8365
2017-07-06,17,4,123460,301,27,7,594,2144,2697,2697,2144,2697,2697
2017-07-06,9,1,44117,9,27,7,10,68,118,118,68,118,118
2017-07-06,6,1,39109,324,27,7,1375,2744,5863,5863,2744,5863,5863
2017-07-06,14,1,41653,56,27,7,202,394,654,654,394,654,654
2017-07-06,9,1,42158,898,27,7,3197,6496,11058,11058,6496,11058,11058
2017-07-06,3,1,123576,1186,27,7,4791,9461,16149,16149,9461,16149,16149
2017-07-06,17,4,6437,1776,27,7,3758,7557,13112,13112,7557,13112,13112
2017-07-06,17,1,44117,4,27,7,62,174,293,293,174,293,293
2017-07-06,5,1,7840,3438,27,7,12923,29400,62138,62138,29400,62138,62138
2017-07-06,7,1,42124,53,27,7,131,236,427,427,236,427,427
2017-07-06,9,1,6555,956,27,7,3709,7552,12005,12005,7552,12005,12005
2017-07-06,8,1,123576,338,27,7,3606,6377,8029,8029,6377,8029,8029
2017-07-06,2,1,9784,363,27,7,288,1350,1885,1885,1350,1885,1885
2017-07-06,18,1,32354,63,27,7,196,442,779,779,442,779,779
2017-07-06,4,4,7840,666,27,7,3805,8030,17721,17721,8030,17721,17721
2017-07-06,8,1,6437,1806,27,7,6473,12686,18273,18273,12686,18273,18273
2017-07-06,2,1,6555,895,27,7,2626,6441,10832,10832,6441,10832,10832
2017-07-06,2,2,35549,20,27,7,63,127,187,187,127,187,187
2017-07-06,16,1,42158,3359,27,7,12492,24549,38679,38679,24549,38679,38679
2017-07-06,9,2,6011,155,27,7,349,638,738,738,638,738,738
2017-07-06,13,1,123492,947,27,7,4673,10157,18167,18167,10157,18167,18167
2017-07-06,10,1,123492,211,27,7,17,31,128,128,31,128,128
2017-07-06,15,1,32354,1,27,7,219,861,1826,1826,861,1826,1826
2017-07-06,18,1,123492,2186,27,7,7873,12719,18274,18274,12719,18274,18274
2017-07-06,9,1,41653,19,27,7,50,128,217,217,128,217,217
2017-07-06,12,1,33258,31,27,7,85,190,306,306,190,306,306
2017-07-06,13,1,38588,1202,27,7,11281,16730,27769,27769,16730,27769,27769
2017-07-06,8,1,42158,734,27,7,2577,5172,7990,7990,5172,7990,7990
2017-07-06,17,4,6555,121,27,7,390,768,1259,1259,768,1259,1259
2017-07-06,2,4,7840,402,27,7,2084,4288,10723,10723,4288,10723,10723
2017-07-06,15,1,33258,26,27,7,134,219,365,365,219,365,365
2017-07-06,15,1,123576,2937,27,7,10318,19139,31397,31397,19139,31397,31397
2017-07-06,17,1,38588,2103,27,7,8616,16585,25865,25865,16585,25865,25865
2017-07-06,10,2,35549,190,27,7,1749,2955,4421,4421,2955,4421,4421
2017-07-06,6,1,123576,511,27,7,2008,4305,9829,9829,4305,9829,9829
2017-07-06,7,1,9784,580,27,7,3797,8272,14850,14850,8272,14850,14850
2017-07-06,2,1,123335,10,27,7,189,689,813,813,689,813,813
2017-07-06,5,1,44117,14,27,7,29,121,215,215,121,215,215
2017-07-06,15,1,39109,5,27,7,1207,3884,6691,6691,3884,6691,6691
2017-07-06,8,4,38588,80,27,7,224,698,1235,1235,698,1235,1235
2017-07-06,3,1,38588,3135,27,7,11969,23855,39135,39135,23855,39135,39135
2017-07-06,11,1,123576,2263,27,7,10912,21955,36577,36577,21955,36577,36577
2017-07-06,2,1,38588,171,27,7,1323,2138,3300,3300,2138,3300,3300
2017-07-06,5,1,38588,3942,27,7,12118,27643,40892,40892,27643,40892,40892
2017-07-06,17,1,123576,1755,27,7,8133,16884,26758,26758,16884,26758,26758
2017-07-06,0,4,123460,27,27,7,6,185,202,202,185,202,202
2017-07-06,16,1,32354,47,27,7,68,195,348,348,195,348,348
2017-07-06,4,1,123576,333,27,7,2194,3596,4893,4893,3596,4893,4893
2017-07-06,0,1,39109,25,27,7,57,145,289,289,145,289,289
2017-07-06,5,2,7840,1750,27,7,2292,5442,12981,12981,5442,12981,12981
2017-07-06,17,4,7840,3019,27,7,11619,21796,51441,51441,21796,51441,51441
2017-07-06,6,2,123238,40,27,7,80,140,219,219,140,219,219
2017-07-06,14,1,33258,21,27,7,78,147,246,246,147,246,246
2017-07-06,10,1,42158,738,27,7,2383,4807,7228,7228,4807,7228,7228
2017-07-06,18,1,33258,11,27,7,46,115,184,184,115,184,184
2017-07-06,0,1,123492,426,27,7,1644,3529,5749,5749,3529,5749,5749
2017-07-06,7,1,32354,37,27,7,515,811,1150,1150,811,1150,1150
2017-07-06,12,1,38588,2283,27,7,8206,17525,27935,27935,17525,27935,27935
2017-07-06,12,1,42158,3093,27,7,13524,27279,42518,42518,27279,42518,42518
2017-07-06,15,1,42158,8446,27,7,33788,68588,112890,112890,68588,112890,112890
2017-07-06,8,1,9784,34,27,7,221,336,639,639,336,639,639
2017-07-06,3,4,6011,47,27,7,159,183,282,282,183,282,282
2017-07-06,6,1,7840,587,27,7,2502,4634,19860,19860,4634,19860,19860
2017-07-06,11,1,41653,120,27,7,503,1080,1624,1624,1080,1624,1624
2017-07-06,3,1,33258,36,27,7,107,217,323,323,217,323,323
2017-07-06,4,1,42158,155,27,7,705,1726,2956,2956,1726,2956,2956
2017-07-06,15,4,7840,3880,27,7,15840,34567,86873,86873,34567,86873,86873
2017-07-06,5,1,6437,9191,27,7,26834,51504,83371,83371,51504,83371,83371
2017-07-06,9,2,42124,200,27,7,225,509,710,710,509,710,710
2017-07-06,9,1,7840,989,27,7,4651,11706,21004,21004,11706,21004,21004
2017-07-06,7,4,123460,222,27,7,900,2538,3471,3471,2538,3471,3471
2017-07-06,11,1,9784,1206,27,7,3943,9467,16761,16761,9467,16761,16761
2017-07-06,18,1,6555,2332,27,7,8436,17813,30412,30412,17813,30412,30412
2017-07-06,6,4,6011,186,27,7,946,1815,3237,3237,1815,3237,3237
2017-07-06,5,1,41653,107,27,7,424,1075,1838,1838,1075,1838,1838
2017-07-06,17,1,7840,2185,27,7,10875,23140,49088,49088,23140,49088,49088
2017-07-06,4,1,44117,3,27,7,4,41,53,53,41,53,53
2017-07-06,3,4,123460,137,27,7,283,329,1394,1394,329,1394,1394
2017-07-06,16,1,41653,103,27,7,362,851,1281,1281,851,1281,1281
2017-07-06,15,4,38588,884,27,7,5027,13145,18951,18951,13145,18951,18951
2017-07-06,3,1,9784,23,27,7,691,1518,1834,1834,1518,1834,1834
2017-07-06,17,1,41653,430,27,7,1679,2637,4316,4316,2637,4316,4316
