,fecha,agencia_id,canal_id,producto_id,venta_uni,agencia_orig,producto_orig,canal_orig,fechaLab,season,isholiday,isholidayyesterday,isholidaytomorrow,Week,Month,lag1month,lag05month,lag05rollavg2,lag05rollavg3,lag2rollavg3,lag05ewma3,lag05ewma8,lag2ewma3,lag4ewma3,lag05ewma3lag05ewma8,lag2ewma3lag4ewma3,price
79,2017-05-11,3,2,7,20,12731,35549,4,5,1,0,1,0,19,5,93,103,9846.0,7465.0,8320.0,5746.0,6371.0,5746.0,4829.0,-625.0,917.0,17
80,2017-05-11,3,2,8,1937,12731,38588,4,5,1,0,1,0,19,5,4565,6207,3155.0,8633.0,2329.0,5976.0,6335.0,5976.0,4697.0,-359.0,1279.0,5
81,2017-05-11,3,2,16,12,12731,123460,4,5,1,0,1,0,19,5,633,1065,3636.0,2458.0,2599.0,3521.0,5164.0,3521.0,2665.0,-1643.0,856.0,23
82,2017-05-11,4,0,0,83,12732,6011,1,5,1,0,1,0,19,5,452,590,828.0,2621.0,542.0,2055.0,4147.0,2055.0,1558.0,-2092.0,497.0,16
83,2017-05-11,4,0,1,1180,12732,6437,1,5,1,0,1,0,19,5,3605,4434,2512.0,2030.0,2028.0,3245.0,4211.0,3245.0,2582.0,-966.0,663.0,7
84,2017-05-11,4,0,2,561,12732,6555,1,5,1,0,1,0,19,5,1796,2268,3351.0,2431.0,2700.0,2756.0,3779.0,2756.0,2189.0,-1023.0,567.0,7
85,2017-05-11,4,0,3,1337,12732,7840,1,5,1,0,1,0,19,5,5410,6936,4602.0,4546.0,3603.0,4846.0,4481.0,4846.0,3799.0,365.0,1047.0,5
86,2017-05-11,4,0,4,207,12732,9784,1,5,1,0,1,0,19,5,282,394,3665.0,3199.0,2846.0,2620.0,3573.0,2620.0,2041.0,-953.0,579.0,11
87,2017-05-11,4,0,5,17,12732,32354,1,5,1,0,1,0,19,5,50,59,226.0,2463.0,166.0,1340.0,2792.0,1340.0,1045.0,-1452.0,295.0,16
88,2017-05-11,4,0,6,7,12732,33258,1,5,1,0,1,0,19,5,45,60,60.0,171.0,48.0,700.0,2185.0,700.0,545.0,-1485.0,155.0,71
